date,au_buyback_per_g,k24_per_g,k22_per_g,k18_per_g,k14_per_g,k10_per_g
2026-05-28,24972,23973,21975,17980,13984,9989
2026-06-08,24112,23148,21219,17361,13503,9645
2026-06-09,24280,23309,21366,17482,13597,9712
2026-06-10,23811,22859,20954,17144,13334,9524
2026-06-11,22906,21990,20157,16492,12827,9162
2026-06-12,23709,22761,20864,17070,13277,9484
2026-06-13,23406,22470,20597,16852,13107,9362
2026-06-14,23406,22470,20597,16852,13107,9362
2026-06-15,24169,23202,21269,17402,13535,9668
2026-06-16,24236,23267,21328,17450,13572,9694
2026-06-17,24438,23460,21505,17595,13685,9775
2026-06-18,24235,23266,21327,17449,13572,9694
2026-06-19,23704,22756,20860,17067,13274,9482
2026-06-20,23428,22491,20617,16868,13120,9371
2026-06-21,23428,22491,20617,16868,13120,9371
2026-06-22,23603,22659,20771,16994,13218,9441
2026-06-23,23722,22773,20875,17080,13284,9489
2026-06-24,23223,22294,20436,16721,13005,9289
2026-06-25,22737,21828,20009,16371,12733,9095
2026-06-26,22794,21882,20059,16412,12765,9118
2026-06-27,22818,21905,20080,16429,12778,9127
2026-06-28,22818,21905,20080,16429,12778,9127
2026-06-29,22987,22068,20229,16551,12873,9195
2026-06-30,22768,21857,20036,16393,12750,9107
2026-07-01,22846,21932,20104,16449,12794,9138
2026-07-02,23066,22143,20298,16608,12917,9226
2026-07-03,23443,22505,20630,16879,13128,9377
2026-07-04,23565,22622,20737,16967,13196,9426
2026-07-05,23565,22622,20737,16967,13196,9426
2026-07-06,23672,22725,20831,17044,13256,9469
2026-07-07,23668,22721,20828,17041,13254,9467
2026-07-08,23384,22449,20578,16836,13095,9354
2026-07-09,23243,22313,20454,16735,13016,9297
2026-07-10,23487,22548,20669,16911,13153,9395
2026-07-11,23294,22362,20499,16772,13045,9318
2026-07-12,23294,22362,20499,16772,13045,9318
2026-07-13,23213,22284,20427,16713,12999,9285
2026-07-14,22742,21832,20013,16374,12736,9097
2026-07-15,23107,22183,20334,16637,12940,9243
2026-07-16,23094,22170,20323,16628,12933,9238
2026-07-17,22762,21852,20031,16389,12747,9105
2026-07-18,22693,21785,19970,16339,12708,9077
2026-07-19,22693,21785,19970,16339,12708,9077
2026-07-20,22693,21785,19970,16339,12708,9077
2026-07-21,22890,21974,20143,16481,12818,9156
2026-07-22,23459,22521,20644,16890,13137,9384
2026-07-23,23689,22741,20846,17056,13266,9476
2026-07-24,23298,22366,20502,16775,13047,9319
2026-07-25,23163,22236,20383,16677,12971,9265
2026-07-26,23163,22236,20383,16677,12971,9265
2026-07-27,23520,22579,20698,16934,13171,9408
2026-07-28,23374,22439,20569,16829,13089,9350
2026-07-29,23153,22227,20375,16670,12966,9261
2026-07-30,23388,22452,20581,16839,13097,9355
2026-07-31,23039,22117,20274,16588,12902,9216
2026-08-01,22860,21946,20117,16459,12802,9144
2026-08-02,22860,21946,20117,16459,12802,9144
2026-08-03,22268,21377,19596,16033,12470,8907
2026-08-04,22425,21528,19734,16146,12558,8970
2026-08-05,22576,21673,19867,16255,12643,9030
2026-08-06,23711,22763,20866,17072,13278,9484
2026-08-07,23590,22646,20759,16985,13210,9436
2026-08-08,23785,22834,20931,17125,13320,9514
2026-08-09,23785,22834,20931,17125,13320,9514
2026-08-10,24060,23098,21173,17323,13474,9624
2026-08-11,24149,23183,21251,17387,13523,9660
2026-08-12,24464,23485,21528,17614,13700,9786
2026-08-13,24787,23796,21813,17847,13881,9915
2026-08-14,24302,23330,21386,17497,13609,9721
2026-08-15,24171,23204,21270,17403,13536,9668
2026-08-16,24171,23204,21270,17403,13536,9668
2026-08-17,24486,23507,21548,17630,13712,9794
2026-08-18,24799,23807,21823,17855,13887,9920
2026-08-19,24337,23364,21417,17523,13629,9735
2026-08-20,25071,24068,22062,18051,14040,10028
2026-08-21,25215,24206,22189,18155,14120,10086
2026-08-22,25415,24398,22365,18299,14232,10166
2026-08-23,25415,24398,22365,18299,14232,10166
